Número de Registro,Fecha de ingreso,Denominación del Objeto,Cultura,Materiales,Zona Arqueológica,País
,Día,,,,,
MB 000094,16,Tapa,,Arcilla,Magdalena Medio,Colombia
MB 000094,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000094,16,Hacha,Nutabe,Piedra,Bajo Cauca,Colombia
MB 000095,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000095,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000095,16,Hacha,Nutabe,Piedra,Bajo Cauca,Colombia
MB 000096,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000096,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000096,16,Hacha,Nutabe,Hacha,Bajo Cauca,Colombia
MB 000097,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000097,16,Figura,Valdivia,Arcilla,,Ecuador
MB 000097,16,Hacha,Nutabe,Piedra,Bajo Cauca,Colombia
MB 000098,16,Figura,Bahía,Arcilla,Costa Pacífica,Ecuador
MB 000098,16,Flauta,Calamarí,Hueso,Costa Caribe,Colombia
MB 000099,16,Figura,Calamarí,Arcilla,Costa Caribe,Colombia
MB 000099,16,Flauta,Calamarí,Hueso,Costa Caribe,Colombia
MB 000100,16,Copa,Calamarí,Arcilla,Costa Caribe,Colombia
MB 000100,16,Figura,Chorrera,Arcilla,Costa de Guayas,Ecuador
MB 000100,16,Ocarina,Calamarí,Hueso,Costa Caribe,Colombia
MB 000101,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000101,16,Figura,Chorrera,Arcilla,Costa de Guayas,Ecuador
MB 000101,16,Fragmento,Calamarí,Hueso,Costa Caribe,Colombia
MB 000102,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000102,16,Collar,Jamacoaque,Arcilla,Costa Pacífica,Ecuador
MB 000102,16,Adorno,Calamarí,Hueso,Costa Caribe,Colombia
MB 000103,16,Vasija,Zenú,Arcilla,Costa Caribe,Colombia
MB 000103,16,Flauta,Calamarí,Hueso,Costa Caribe,Colombia
MB 000104,16,Vasija,Calima,Arcilla,Valle del Cauca,Colombia
MB 000104,16,Colgante,Calamarí,Hueso,Costa Caribe,Colombia
MB 000105,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000105,16,Pesa,Zenú,Piedra,Costa Caribe,Colombia
MB 000106,16,Vasija,Calima,Arcilla,Valle del Cauca,Colombia
MB 000106,16,Pesa,Zenú,Piedra,Costa Caribe,Colombia
MB 000107,16,Alcarraza,Calima,Arcilla,Valle del Cauca,Colombia
MB 000107,16,Pesa,Zenú,Piedra,Costa Caribe,Colombia
MB 000108,16,Pesa,Zenú,Piedra,Costa Caribe,Colombia
MB 000109,16,Cántaro,Calima,Arcilla,Valle del Cauca,Colombia
MB 000109,16,Colgante,,Piedra,Costa Caribe,Colombia
MB 000110,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000110,16,Colgante,,Piedra,Costa Caribe,Colombia
MB 000111,16,Vasija,Calima,Arcilla,Valle del Cauca,Colombia
MB 000111,16,Colgante,Calamarí,Piedra,Costa Caribe,Colombia
MB 000112,16,Cuenco,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000112,16,Colgante,Calamarí,Piedra,Costa Caribe,Colombia
MB 000113,16,Cuenco,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000113,16,Colgante,Calamarí,Piedra,Costa Caribe,Colombia
MB 000114,16,Cántaro,Calima,Arcilla,Valle del Cauca,Colombia
MB 000114,16,Pectoral ,Calamarí,Piedra,Costa Caribe,Colombia
MB 000115,16,Cuenco,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000115,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000116,16,Cántaro,Guabas Buga,Arcilla,Valle del Cauca,Colombia
